Year,Month,Date (mm/dd/yyyy), Amount ,Category (Select),Subcategory (Select),Store,Credit Card,Comments,,,
2019,March,3/14/19, $7.12 ,Mindful Spending,Restaurant,Grocery Checkout,8501,,,,
2019,March,3/14/19," $1,176.00 ",Mindful Spending,Technology,Amazon,8501,Asus Computer,,,
2019,March,3/15/19, $19.69 ,Fixed,Medicine,University Pharmacy,8501,,,,
2019,March,3/16/19, $12.84 ,Fixed,Other,Staples #239,8501,,,,
2019,March,3/16/19, $60.00 ,Fixed,Groceries,No Frills,8501,,,,
2019,March,3/16/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2019,March,3/17/19, $8.00 ,Mindful Spending,Restaurant,Black Pearl Restaurant,8501,,,,
2019,March,3/17/19, $35.68 ,Mindful Spending,Home,Amazon MKT Place,8501,,,,
2019,March,3/19/19, $11.01 ,Mindful Spending,Restaurant,Subway,8501,,,,
2019,March,3/22/19, $9.45 ,Mindful Spending,Restaurant,Nori Bento & Udon,8501,,,,
2019,March,3/22/19, $6.36 ,Mindful Spending,Restaurant,N or Shine Homemad IC,8501,,,,
2019,March,3/23/19, $74.27 ,Fixed,Groceries,No Frills,8501,,,,
2019,March,3/23/19, $14.43 ,Mindful Spending,Restaurant,Kintaro Ramen,8501,,,,
2019,March,3/25/19, $9.92 ,Mindful Spending,Restaurant,The Grand Noodle Emporium,8501,,,,
2019,March,3/28/19, $4.88 ,Mindful Spending,Restaurant,IRC Snack Bar,8501,,,,
2019,March,3/29/19, $8.60 ,Mindful Spending,Restaurant,Subway,8501,,,,
2019,March,3/29/19, $8.50 ,Mindful Spending,Restaurant,Black Pearl Restaurant,8501,,,,
2019,March,3/30/19, $10.07 ,Mindful Spending,Other,London Drugs,8501,,,,
2019,March,3/30/19, $89.01 ,Fixed,Groceries,No Frills,8501,,,,
2019,March,3/31/19, $14.91 ,Mindful Spending,Restaurant,Sun Sushi Restaurant,8501,,,,
2019,April,4/01/19, $5.13 ,Mindful Spending,Restaurant,IRC Snack Bar,8501,,,,
2019,April,4/03/19, $7.64 ,Mindful Spending,Restaurant,Nori Bento & Udon,8501,,,,
2019,April,4/07/19, $30.19 ,Mindful Spending,Restaurant,La Notte,8501,,,,
2019,April,4/07/19, $53.43 ,Fixed,Groceries,No Frills,8501,,,,
2019,April,4/09/19, $9.45 ,Mindful Spending,Restaurant,The Grand Noodle Emporium,8501,,,,
2019,April,4/11/19, $9.45 ,Mindful Spending,Restaurant,Nori Bento & Udon,8501,,,,
2019,April,4/12/19, $11.33 ,Mindful Spending,Restaurant,McDonalds,8501,,,,
2019,April,4/12/19, $16.57 ,Fixed,Medicine,Shoppers Drug Mart,8501,Credit Card Cut,,,
2019,April,4/13/19, $79.16 ,Fixed,Groceries,No Frills,8501,,,,
2019,April,4/14/19, $6.18 ,Mindful Spending,Restaurant,Subway,8501,,,,
2019,April,4/14/19, $14.75 ,Mindful Spending,Restaurant,Famous Warehouse,8501,,,,
2019,April,4/16/19, $42.34 ,Mindful Spending,Restaurant,The Holy Crab,8501,,,,
2019,April,4/17/19, $9.00 ,Mindful Spending,Restaurant,Donair Town,8501,,,,
2019,April,4/18/19, $3.99 ,Mindful Spending,Restaurant,Tim Hortons,8501,,,,
2019,April,4/18/19, $52.00 ,Mindful Spending,Other,Student Recreation Center,8501,,,,
2019,April,4/19/19, $12.09 ,Fixed,Medicine,University Pharmacy,8501,,,,
2019,April,4/24/19, $9.45 ,Mindful Spending,Restaurant,The Grand Noodle Emporium,8501,,,,
2019,April,4/25/19, $6.29 ,Mindful Spending,Restaurant,Tim Hortons,8501,,,,
2019,April,4/25/19, $7.62 ,Mindful Spending,Restaurant,JJ Bean Inc,8501,,,,
2019,April,4/25/19, $5.00 ,Mindful Spending,Restaurant,Uncle Fatih's Pizza,8501,,,,
2019,April,4/26/19, $39.14 ,Mindful Spending,Other,Shoppers Drug Mart,8501,,,,
2019,April,4/26/19, $18.35 ,Mindful Spending,Restaurant,Ramen Danbo,8501,,,,
2019,April,4/27/19, $19.99 ,Mindful Spending,Restaurant,Manna Sushi Japanese R,8501,,,,
2019,April,4/27/19, $128.36 ,Fixed,Groceries,Jason's No Frills,8501,,,,
2019,April,4/29/19, $28.39 ,Mindful Spending,Restaurant,Biercraft Westbrook,8501,,,,
2019,May,5/01/19, $9.45 ,Mindful Spending,Restaurant,The Grand Noodle Emporium,8501,,,,
2019,May,5/02/19, $35.00 ,Mindful Spending,Other,Student Recreation Center,8501,,,,
2019,May,5/03/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2019,May,5/03/19, $25.20 ,Mindful Spending,Restaurant,Soho Tea Room,8501,,,,
2019,May,5/04/19, $132.89 ,Fixed,Groceries,Loblaws City Market,8501,,,,
2019,May,5/05/19, $12.60 ,Mindful Spending,Restaurant,Heirloom,8501,,,,
2019,May,5/10/19, $29.99 ,Mindful Spending,Other,Amazon MKT Place,8501,,,,
2019,May,5/11/19, $13.95 ,Mindful Spending,Restaurant,El Dorado Pie,8501,Credit Card Cut,,,
2019,May,5/13/19, $9.45 ,Mindful Spending,Restaurant,The Grand Noodle Emporium,8501,,,,
2019,May,5/15/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,8501,,,,
2019,May,5/15/19, $12.86 ,Mindful Spending,Other,Shoppers Drug Mart,8501,,,,
2019,May,5/16/19, $10.08 ,Mindful Spending,Restaurant,Tim Hortons,8501,,,,
2019,May,5/17/19, $25.75 ,Mindful Spending,Other,Shoppers Drug Mart,8501,,,,
2019,May,5/17/19, $161.43 ,Fixed,Groceries,Loblaws City Market,8501,,,,
2019,August,8/04/19, $66.36 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/05/19, $9.05 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/06/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,1095,,,,
2019,August,8/07/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,1095,,,,
2019,August,8/08/19, $8.93 ,Mindful Spending,Restaurant,Petra Café,1095,,,,
2019,August,8/08/19, $37.03 ,Fixed,Medicine,University Pharmacy,1095,,,,
2019,August,8/08/19, $22.39 ,Mindful Spending,Other,Shoppers Drug Mart,1095,,,,
2019,August,8/09/19, $9.45 ,Mindful Spending,Restaurant,The Noodle Emporium,1095,,,,
2019,August,8/09/19, $88.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/09/19, $10.44 ,Fixed,Groceries,BC Liquour Store,1095,,,,
2019,August,8/10/19, $65.81 ,Mindful Spending,Restaurant,Yolks,1095,,,,
2019,August,8/11/19, $51.08 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/12/19, $11.77 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/15/19, $27.52 ,Fixed,Groceries,Save on Foods,1095,,,,
2019,August,8/16/19, $7.90 ,Mindful Spending,Restaurant,Donair Town,1095,,,,
2019,August,8/17/19, $56.12 ,Fixed,Groceries,Save on Foods,1095,Credit Card Cut,,,
